subject,slice,filter,psnr,ssim
FL_to_SRI_defaced,70,gaussian,29.4072,0.9278
FL_to_SRI_defaced,70,mean,29.5949,0.9289
FL_to_SRI_defaced,70,median,31.0633,0.9434
FL_to_SRI_defaced,71,gaussian,29.7492,0.9288
FL_to_SRI_defaced,71,mean,29.9019,0.9299
FL_to_SRI_defaced,71,median,31.2176,0.9435
FL_to_SRI_defaced,72,gaussian,29.7984,0.9284
FL_to_SRI_defaced,72,mean,29.9474,0.9296
FL_to_SRI_defaced,72,median,31.231,0.9439
FL_to_SRI_defaced,73,gaussian,29.4056,0.9255
FL_to_SRI_defaced,73,mean,29.5439,0.9267
FL_to_SRI_defaced,73,median,30.7975,0.9416
FL_to_SRI_defaced,74,gaussian,29.1186,0.9233
FL_to_SRI_defaced,74,mean,29.2555,0.9244
FL_to_SRI_defaced,74,median,30.4253,0.9392
FL_to_SRI_defaced,75,gaussian,28.9223,0.9218
FL_to_SRI_defaced,75,mean,29.063,0.9228
FL_to_SRI_defaced,75,median,30.2306,0.9374
FL_to_SRI_defaced,76,gaussian,29.2135,0.9235
FL_to_SRI_defaced,76,mean,29.3815,0.925
FL_to_SRI_defaced,76,median,30.6203,0.9395
FL_to_SRI_defaced,77,gaussian,28.8147,0.9214
FL_to_SRI_defaced,77,mean,29.0054,0.9228
FL_to_SRI_defaced,77,median,30.2774,0.9372
FL_to_SRI_defaced,78,gaussian,29.175,0.9229
FL_to_SRI_defaced,78,mean,29.3875,0.9242
FL_to_SRI_defaced,78,median,30.6878,0.9386
FL_to_SRI_defaced,79,gaussian,29.4985,0.9241
FL_to_SRI_defaced,79,mean,29.7303,0.9254
FL_to_SRI_defaced,79,median,30.999,0.939
FL_to_SRI_defaced,80,gaussian,29.5986,0.925
FL_to_SRI_defaced,80,mean,29.8352,0.9262
FL_to_SRI_defaced,80,median,31.0664,0.9391
FL_to_SRI_defaced,81,gaussian,29.8325,0.9267
FL_to_SRI_defaced,81,mean,30.0853,0.9281
FL_to_SRI_defaced,81,median,31.4712,0.9414
FL_to_SRI_defaced,82,gaussian,30.0152,0.9269
FL_to_SRI_defaced,82,mean,30.295,0.9283
FL_to_SRI_defaced,82,median,31.7919,0.9415
FL_to_SRI_defaced,83,gaussian,29.2705,0.9208
